Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year),normalized_title,book_id,clean_desc,tags,desc_len
Lee Canter's Assertive Discipline for Parents,"By Canter, Lee and Canter, Marlene","You Can Get Your Children To BehaveRaising happy, well-behaved children seems to be harder than ever. The old answers don't seem to work. New approaches are needed. Assertive Discipline for Parents is the parenting book that addresses the needs of today's parents. You will learn:How to communicate -- to say what you mean and mean what you say How and when to provide positive support when your children do behaveHow to avoid being manipulated by your children's ""I don't care"" attitudes, threat and angerAssertive Discipline for Parents will enable you to master the skills needed to guide your children's behavior successfully."," Family & Relationships , Parenting , General",HarperCollins,5.58,January,1983,lee canters assertive discipline for parents,2664,"get child behaveraising happy, wellbehaved child seems harder ever. old answer dont seem work. new approach needed. assertive discipline parent parenting book address need today parent. learnhow communicate say mean mean say provide positive support child behavehow avoid manipulated childrens dont care attitudes, threat angerassertive discipline parent enable master skill needed guide childrens behavior successfully","assertive discipline, child behavehow, childrens behavior",419
Get Thee to a Punnery,"By Lederer, Richard and Thompson, Bill (ILT)","The Pun Is Mightier Than The Sword...
Richard Lederer has great puns. And you don't have to take vows to enjoy them. Just Get Thee To A Punneryand laugh yourself int a state of grace. Sinners will be punished with such gems as:
*Old Milkmaids never die&dash;they just kick the bucket.
*Combined charity drives put all the begs in one ask-it
*Have you heard about the cannibal who had a wife and ate children
*Drunk drivers are people who put the quart before the hearse.
Whether you like 'em hot or cool, straight-up or low-down, here are puns of every color, stripe and persuasion to suit your every whim. Even if you don't know that your humerus is your funny bone, this is the book for you!"," Humor , Form , Anecdotes",Laurel,8.29,December,1989,get thee to a punnery,1905,"pun mightier sword. richard lederer great pun. dont take vow enjoy. get thee punneryand laugh int state grace. sinner punished gem old milkmaid never diedashthey kick bucket. combined charity drive put begs one askit heard cannibal wife ate child drunk driver people put quart hearse. whether like hot cool, straightup lowdown, pun every color, stripe persuasion suit every whim. even dont know humerus funny bone, book","mightier sword, heard cannibal, pun mightier",419
The Dinosaur Alphabet Book (Jerry Pallotta's Alphabet Books),"By Masiello, Ralph (ILT) and Pallotta, Jerry","The perfect way to introduce children to the fascinating world of dinosaurs. Full of interesting facts--did you know some dinosaurs had sharp front teeth while others had no front teeth at all? This alphabet book explores both the known and the not-so-well known dinosaurs.Meet the heterodontosaurus (one of the smallest known to exist), the megalosaurus (the first dinosaur ever discovered), the iguanodon, the ultrasaurus, and more!Once again, Jerry Pallotta and Ralph Masiello have combined their talents to create a unique children's book that will inform and entertain young readers."," Juvenile Nonfiction , Animals , Dinosaurs & Prehistoric Creatures",Charlesbridge,5.29,July,1990,the dinosaur alphabet book jerry pallottas alphabet books,3303,"perfect way introduce child fascinating world dinosaur. full interesting factsdid know dinosaur sharp front teeth others front teeth. alphabet book explores known notsowell known dinosaur. meet heterodontosaurus one smallest known exist, megalosaurus first dinosaur ever discovered, iguanodon, ultrasaurus,. again, jerry pallotta ralph masiello combined talent create unique childrens book inform entertain young reader","know dinosaur, known dinosaur, dinosaur discovered",419
Who Guards a Prince? (Felony & Mayhem Mysteries),"By Hill, Reginald","Who would sever a tongue from a living mouth? Or kill a pathetic, homeless old man? Or frighten a young doctor into silence? The questions are piling up, and Doug McHarg can't stop asking them, even when he's warned off his inquiries by his boss in the local police force, by Scotland Yard, and by increasingly professional death-threats. The pattern that emerges is that of a shadowy, immensely powerful organization, with a reach that extends to the White House and the English throne. And all that stands against them is the implacable McHarg, one discontented copper with little left to lose."," Fiction , Thrillers , Espionage",Felony & Mayhem,5.29,June,2005,who guards a prince felony mayhem mysteries,882,"would sever tongue living mouth. kill pathetic, homeless old man. frighten young doctor silence. question piling up, doug mcharg cant stop asking them, even he warned inquiry bos local police force, scotland yard, increasingly professional deaththreats. pattern emerges shadowy, immensely powerful organization, reach extends white house english throne. stand implacable mcharg, one discontented copper little left lose","mcharg discontented, tongue living, sever tongue",419
The Empty Envelope (A to Z Mysteries),"By Gurney, John Steven (ILT) and Roy, Ron","Help Dink, Josh, and Ruth Rose solve mysteries from A to Z!    Kids love collecting the entire alphabet and super editions! With over 8 million copies in print, the A to Z Mysteries® have been hooking chapter book readers on mysteries and reading for years. Now this classic kid favorite is back with a bright new look!   E is for Envelope . . . Who is sending letters to Dink? All week long, Dink has been getting strange mail. The envelopes are addressed to “D. Duncan,” but the letters inside are for someone named Doris. Plus, one envelope is empty! Could it be a secret code? And can Dink, Josh, and Ruth Rose crack it?"," Juvenile Fiction , Readers , Chapter Books",Random House Books for Young Readers,5.29,June,1998,the empty envelope a to z mysteries,2430,"help dink, josh, ruth rose solve mystery. kid love collecting entire alphabet super edition. million copy print, mystery hooking chapter book reader mystery reading year. classic kid favorite back bright new look. envelope. sending letter dink. week long, dink getting strange mail. envelope addressed. duncan, letter inside someone named doris. plus, one envelope empty. could secret code. dink, josh, ruth rose crack","reader mystery, mystery kid, print mystery",418
